seq,candidate_name,notes
64,ANIL KUMAR BAJPAI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
65,ANIL KUMAR BAJPAI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
66,ANIL KUMAR BAJPAI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
67,ANIL KUMAR GUPTA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
68,ANIL KUMAR SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
69,ANIL KUMAR SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
70,ANIL KUMAR SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
71,ANIL KUMAR YADAV,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
72,ANIL KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
73,ANIL LOHCHUB,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
74,ANIL SINGH JADON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
75,ANIL SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
76,ANIL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
77,ANIMA OJHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
78,ANITA KUMARI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
79,ANUPAM SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
80,ANVEEKSHA JAIN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
81,ARBIND SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
82,ARBIND SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
83,ARIF NABI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
84,ARUNA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
85,ARUN KUMAR CHADHA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
86,ARUN KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
87,ARVINDER SINGH LOVELY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
88,ARVINDER SINGH LOVELY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
89,ARVINDER SINGH LOVELY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
90,ARVINDER SINGH LOVELY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
91,ARVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
92,ARVINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
93,ARVIND KEJRIWAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
94,ARVIND KEJRIWAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
95,ARVIND KEJRIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
96,ARVIND KEJRIWAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
97,ARVIND KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
98,ARVIND KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
99,ARVIND MISHRA,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
100,ASAD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
101,ASHA RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
102,ASHISH SOOD,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
103,ASHISH SOOD,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
104,ASHISH SOOD,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
105,ASHISH SOOD,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
106,ASHOK AGYANI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
107,ASHOK PAHALWAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
108,ASHOK SURANA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
109,ASIF MOHD KHAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
110,ATISHI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
111,ATISHI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
112,ATISHI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
113,AVNI DHILWAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
114,AWANINDRA KUMAR CHOUBEY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
115,AWDESH VERMA ALIAS AVDHESH VERMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
116,AZAD SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
117,A A MAHENDER CHAUDHARY,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
118,A DHANWATI CHANDELA A,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
119,BABAR RIYAZ,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
120,BABU RAM PAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
121,BABU RAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
122,BADAN SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
123,BAIDYANATH SAH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
124,BALJEET YADAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
125,BALJEET YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
126,BALJEET,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
127,BALWANT KUMAR PARJAPATI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
128,BANDANA KUMARI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
129,BANDANA KUMARI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
130,BANDANA PANDEY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
131,BHARAT BHUSHAN GAUTAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
132,BHARTI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
133,BHASKARANAND MUNDEPI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
134,BHAVNA GAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
135,BHAVNA GAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
136,BHAVNA GAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
137,BHISHAM SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
138,BHISHAM SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
139,BHUPINDER SINGH JOON,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
140,BHUPINDER SINGH JOON,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
141,BHUPINDER SINGH JOON,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
142,BIMLESH KUMAR SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
143,BIR SINGH CHAUHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
144,BIR SINGH CHAUHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
145,BIR SINGH CHAUHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
146,BRAHAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
147,BRAHAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
148,BRAHAM SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
149,BRAHAM SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
150,BRAHM SINGH TANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
151,BRAHM SINGH TANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
152,BRIJNARAYAN MISHRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
153,CHAMAN LAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
154,CHANDER PAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
155,CHANDER SHEKHAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
156,CHANDRASHEKHAR SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
157,CHAND RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
158,CHARANJEET,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
159,CHAUDHARY MATEEN AHMAD,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
160,CHAUDHARY MATEEN AHMAD,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
161,CHETRAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
162,CHHOTE LAL GUPTA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
163,DALIP KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
164,DAL CHAND KAPIL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
165,DAYA SHANKAR AGRAWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
166,DEEPAK GUPTA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
167,DEEPAK KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
168,DEEPAK KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
169,DEEPAK KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
170,DEEPAK RAJPUT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
171,DEEPAK SINGLA,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
172,DEEPAK SINGLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
173,DEEPAK,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
174,DEEP CHAND,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
175,DEEP KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
176,DEVANAND RAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
177,DEVENDER SINGH YADAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
178,DEVENDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
179,DEVENDER YADAV,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
180,DEVENDER YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
181,DEVNARAYAN THAKUR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
182,DEV RAJ ARORA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
183,DHANJI SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
184,DHARAMBIR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
185,DHARAMBIR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
186,DHARAMBIR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
187,DHARAMPAL LAKRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
188,DHARAMPAL LAKRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
189,DHARAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_movable_totals
190,DHARAM VEER,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
191,DHARMENDER KANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
192,DHARM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
193,DIGAMBER,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
194,DILEEP GAUTAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
195,DILIP JAISWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
196,DILIP PANDEY,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
197,DINESH KUMAR KASHYAP,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
198,DINESH KUMAR MISHRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
199,DINESH MOHANIYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
200,DINESH MOHANIYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
201,DINESH MOHANIYA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
202,DINESH MOHANIYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
203,DINESH TANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
204,DR  ANIL GOYAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
205,DR  ANIL GOYAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
206,DR  ASHOK KUMAR WALIA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
207,DR  ASHOK KUMAR WALIA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
208,DR  ASHOK KUMAR WALIA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
209,DR  ASHWANI KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
210,DR  CHANDRA RAJAN ARORA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
211,DR  MAHENDER NAGPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
212,DR  MAHENDER NAGPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
213,DR  MAHENDER NAGPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
214,DR  MAHENDER NAGPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
215,DR  NARENDER NATH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_movable_totals
216,DR  NARENDER NATH,name_from_filename (Part A regex missed); no_pan; no_movable_totals
217,DR  SUMAN YADAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
218,DR  S  C  VATS,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
219,DR  S  C  VATS,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
220,DR  TEJPAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
221,DURGESH PATHAK,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
222,DURGESH PATHAK,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
223,D K CHOPRA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
224,D K CHOPRA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
225,FATEH SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
226,GANGA RAM CHANDRAVANSHI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
227,GANGA RAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
228,GAURAV,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
229,GAUTAM SINGH BIHARI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
230,GAYATRI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
231,GEETA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
232,GIRISH PRAKASH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
233,GIRISH SONI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
234,GIRISH SONI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
235,GIRISH SONI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
236,GOPAL PRASAD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
237,GOPAL RAI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
238,GOPAL RANJAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
239,GOURAV KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
240,GULAB SINGHAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
241,GULAB SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
242,GULAB SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
243,GULAB SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
244,GURCHARAN SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
245,GURCHARAN SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
246,GYAN CHAND GAUTAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
247,HAJI YUNUS,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
248,HANSA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
249,HANSRAJ JALUTHRIA,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
250,HANSRAJ NAGAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
251,HARCHINT SINGH ARORA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
252,HARIKISHAN JINDAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
253,HARIKISHAN JINDAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
254,HARIKISHAN JINDAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
255,HARIKISHAN JINDAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
256,HARISH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
